StudentID,first_name,last_name,LAB WORK 1,LAB WORK 2,LAB WORK 3,PRELIM EXAM,ATTENDANCE GRADE
073900438,Osbourne,Wakenshaw,69,5,52,12,78
114924014,Albie,Gierardi,58,92,16,57,97
111901632,Eleen,Pentony,43,81,34,36,16
084000084,Arie,Okenden,31,5,14,39,99
272471551,Alica,Muckley,49,66,97,3,95
104900721,Jo,Burleton,98,94,33,13,29
111924392,Cam,Akram,44,84,17,16,24
292970744,Celine,Brosoli,3,15,71,83,45
107004352,Alan,Belfit,31,51,36,70,48
071108313,Jeanette,Gilvear,4,78,15,69,69
042204932,Ethelin,MacCathay,48,36,23,1,11
111914218,Kakalina,Finnick,69,5,65,10,8
074906059,Mayer,Lorenzetti,36,30,100,41,92
091000080,Selia,Rosenstengel,15,42,85,68,28
055002480,Dalia,Tadd,84,86,13,91,22
063101111,Darryl,Doogood,36,3,78,13,100
071908827,Brier,Wace,69,92,23,75,40
322285668,Bucky,Udall,97,63,19,46,28
103006406,Haslett,Beaford,41,32,85,60,61
104913048,Shelley,Spring,84,73,63,59,3
051403517,Marius,Southway,28,75,29,88,92
021301869,Katharina,Storch,6,61,6,49,56
063115178,Hester,Menendez,70,46,73,40,56
084202442,Shaylynn,Scorthorne,50,80,81,96,83
275079882,Madonna,Willatt,23,12,17,83,5
071001041,Bancroft,Padfield,50,100,58,13,14
261170740,Rici,Everard,51,15,48,99,41
113105478,Lishe,Dashkovich,9,23,48,63,95
267089712,Alexandrina,Abate,34,54,79,44,71
041002203,Jordon,Ribbens,41,42,24,60,21
021308176,Jennette,Andrassy,63,13,100,67,4
122239937,Hamid,Chapell,90,92,44,43,47
021109935,Cordy,Crosetto,16,10,99,32,57
111026041,Tiphanie,Gwin,34,45,88,87,27
072408708,Leanor,Izachik,95,35,88,9,75
221370030,Lissy,Tuffley,90,30,84,60,86
104900048,Myrta,Mathieson,88,80,16,6,48
111311413,Cynthea,Fowles,82,59,13,97,23
091408695,Zacherie,Branch,67,6,8,78,10
231372183,Britney,Blackesland,78,79,36,23,83
263190634,Theda,Menco,50,13,7,11,8
021606580,Carin,Schrader,77,32,25,56,53
074902341,Shawn,Moston,64,91,6,95,21
107006088,Virge,Sinnat,20,1,78,44,92
091807254,Alano,Jotcham,66,35,99,48,83
011601029,Pietra,Roy,35,34,75,39,98
122240010,Orren,Danihelka,51,36,17,59,32
091400046,Angie,Grindell,51,54,55,59,61
071001630,Vachel,Swancock,41,31,88,24,24
061020977,Zane,Bellie,88,92,92,52,46
065403150,Delphine,Sirette,73,35,53,48,67
081211300,Oliver,Pynner,47,76,76,56,87
011601074,Barbra,Antyukhin,72,66,76,53,42
091014898,Charmain,Elce,61,76,84,6,64
042100049,Herold,Klawi,3,56,92,27,76
091906359,Mariann,Mousdall,18,42,25,74,47
101114992,Horatius,Romera,91,52,29,11,56
031307604,Dall,Laboune,71,61,78,51,11
111308031,Teddie,Carlett,39,85,48,93,87
114919676,Kelley,Klimentyonok,22,17,83,61,81
322283835,Colene,Corgenvin,13,3,73,96,15
051402071,Diannne,Pashan,82,91,70,78,56
081904808,Staffard,Cullerne,46,37,15,39,50
074914407,Alwin,Hartzog,32,10,90,19,73
103110813,Johnny,Calbreath,3,48,19,4,16
241282632,Sophronia,Fere,65,58,71,49,37
063106734,Timothea,Lambird,77,74,78,85,52
064102290,Lauralee,Mc Caghan,37,76,99,97,12
075017947,Denny,Dani,59,80,5,4,50
072414297,Marilin,Lilloe,1,76,99,40,25
083908420,Hephzibah,Mizzi,33,44,69,72,34
075902340,Jourdan,Toulamain,44,84,89,80,24
114901147,Natassia,Daniele,4,68,27,66,45
061000256,Kellina,Newlands,13,34,20,57,89
051009296,Andria,Thurske,1,8,46,52,72
084205656,Shanie,Marczyk,64,2,33,62,45
041211298,Norine,Spinella,85,33,2,2,77
071922379,Rudiger,Cornbell,40,44,62,51,28
092101030,Reynold,Dumbelton,3,25,70,75,84
265270413,Fielding,Gouldstraw,57,41,85,17,23
051502434,Toni,Wong,36,19,93,31,74
072413557,Daisey,Shireff,85,56,79,35,47
231371799,Cristin,Albutt,79,37,46,79,26
122203248,Peterus,Ojeda,30,26,78,61,41
084205766,Nissie,Winterflood,76,2,81,36,18
075900465,Franciska,Meatyard,90,11,97,41,93
051502434,Tyler,Alekhov,89,69,32,34,8
114922430,Cordy,Byllam,42,88,50,77,100
221982156,Gabriel,Limrick,92,94,30,91,41
084201223,Nonie,McGaffey,35,12,84,33,43
071909211,Kittie,Alman,45,22,28,100,47
071900663,Gran,Smithies,68,35,59,9,84
067006432,Sammy,Gundry,48,24,42,4,61
081503490,Ozzy,Iskowitz,56,54,78,55,77
081307227,Charlie,Waldram,91,41,59,87,82
211272465,Benn,Adnams,1,29,23,89,33
065404913,Fidelia,Katt,35,35,61,66,36
082900380,Fidelia,Jahndel,24,15,93,1,43
061101100,Marietta,Bourgourd,74,83,74,18,7
075072157,Elberta,Argyle,73,61,24,52,39
082900911,Dru,Hendrickson,60,97,80,38,74
301271790,Clemmie,Annett,76,3,27,26,70
122243321,Even,Stebbings,21,73,94,40,60
112204286,Eduardo,Scholz,55,18,35,18,7
064108605,Ruggiero,Colrein,69,8,93,79,63
256072701,Lesli,Tolefree,45,58,51,30,76
091201818,Caitrin,Bogeys,52,26,19,69,90
063115437,Rodrick,Bisset,46,39,11,12,53
211384162,Ladonna,Bridgewood,51,11,17,34,12
122238938,Westleigh,Trevear,23,19,23,99,65
111101377,Allen,Petrovsky,62,50,89,42,51
051404118,Tabbitha,Havers,64,51,23,1,57
262285223,Chev,Helstrip,16,91,9,28,96
072413599,Garvey,Done,30,17,2,18,43
075000734,Kalila,Wondraschek,40,54,72,33,25
065002030,Eustace,Hourican,91,98,72,54,83
084307033,Frayda,Drewell,29,28,39,25,16
114912275,Corena,Seyler,42,46,19,6,69
071925538,Aurie,Campanelli,40,91,64,39,48
263190757,Juanita,Ruhben,49,66,94,39,34
082905181,Danica,Hillam,70,65,53,50,98
211170169,Carney,Bastick,82,58,33,29,21
111304608,Rori,Wragge,76,37,72,21,38
101918240,Rebbecca,Holywell,45,51,90,46,70
091300719,Carina,Manuello,97,98,27,81,53
053202305,Mandi,Meas,55,10,92,59,89
071923747,Audry,Warkup,80,77,55,61,89
071001630,Meryl,Mackett,17,84,26,62,39
053201186,Richart,Tolliday,59,3,98,69,16
071105002,Alejoa,Kinkead,59,58,76,64,6
065203499,Minna,Dunkley,78,55,50,46,20
102101496,Alyse,Gabits,92,50,22,43,55
062000019,Orsa,Learmouth,23,94,7,4,77
042201948,Renata,Dykas,26,100,22,11,34
062206415,Rogers,Ivanyushin,53,57,25,62,93
122243457,Shelton,Kunc,25,86,21,33,17
061204612,Arlen,Gobeau,25,23,20,68,76
113110780,Fidel,Rodgers,31,62,92,75,34
113122655,Peadar,Brompton,22,36,83,51,12
103101929,Noel,Caught,17,15,54,17,59
061209756,Mitchell,Spickett,95,26,60,57,16
082901457,Carney,Redsull,41,40,34,50,98
211970055,Nelia,Mattke,79,11,81,10,26
065002108,Marcellus,Discombe,23,22,51,76,67
323270300,Polly,Savine,19,30,11,9,64
067005679,Nobe,Brake,1,22,59,37,65
073915520,Nollie,Locke,40,6,95,3,24
067091719,Dino,Davenhall,83,79,9,90,98
063113015,Frants,Boughey,46,66,87,15,94
104900679,Frannie,Rigg,51,53,84,44,97
111916452,Lazaro,Kid,47,29,65,64,55
111906161,Berny,Caps,11,63,12,13,47
264279334,Gerhard,McNellis,71,8,31,98,78
101106379,Demetra,Cristofor,79,75,77,74,98
113110816,Timmie,Mitcham,83,77,16,84,40
064108757,Holmes,Dunwoody,88,30,82,11,25
107003418,Sully,Dawid,17,53,10,3,75
